id,name,quarter,sex,year,val,Year Quarter,Start of Quarter
000000000000,POLAND,quarter 1,males,2010,987,2010 Q1,2010-01-01
000000000000,POLAND,quarter 1,males,2011,938,2011 Q1,2011-01-01
000000000000,POLAND,quarter 1,males,2012,959,2012 Q1,2012-01-01
000000000000,POLAND,quarter 1,males,2013,1025,2013 Q1,2013-01-01
000000000000,POLAND,quarter 1,males,2014,980,2014 Q1,2014-01-01
000000000000,POLAND,quarter 1,males,2015,811,2015 Q1,2015-01-01
000000000000,POLAND,quarter 1,males,2016,660,2016 Q1,2016-01-01
000000000000,POLAND,quarter 1,males,2017,513,2017 Q1,2017-01-01
000000000000,POLAND,quarter 1,males,2018,382,2018 Q1,2018-01-01
000000000000,POLAND,quarter 1,males,2019,321,2019 Q1,2019-01-01
000000000000,POLAND,quarter 1,males,2020,288,2020 Q1,2020-01-01
000000000000,POLAND,quarter 1,males,2021,398,2021 Q1,2021-01-01
000000000000,POLAND,quarter 1,males,2022,307,2022 Q1,2022-01-01
000000000000,POLAND,quarter 1,males,2023,293,2023 Q1,2023-01-01
000000000000,POLAND,quarter 1,males,2024,284,2024 Q1,2024-01-01
000000000000,POLAND,quarter 1,males,2025,306,2025 Q1,2025-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2010,163,2010 Q1,2010-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2011,155,2011 Q1,2011-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2012,174,2012 Q1,2012-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2013,204,2013 Q1,2013-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2014,196,2014 Q1,2014-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2015,148,2015 Q1,2015-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2016,99,2016 Q1,2016-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2017,79,2017 Q1,2017-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2018,53,2018 Q1,2018-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2019,61,2019 Q1,2019-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2020,31,2020 Q1,2020-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2021,71,2021 Q1,2021-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2022,44,2022 Q1,2022-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2023,49,2023 Q1,2023-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2024,43,2024 Q1,2024-01-01
010000000000,MACROREGION POŁUDNIOWY,quarter 1,males,2025,54,2025 Q1,2025-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2010,69,2010 Q1,2010-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2011,72,2011 Q1,2011-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2012,77,2012 Q1,2012-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2013,90,2013 Q1,2013-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2014,84,2014 Q1,2014-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2015,60,2015 Q1,2015-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2016,37,2016 Q1,2016-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2017,33,2017 Q1,2017-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2018,18,2018 Q1,2018-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2019,39,2019 Q1,2019-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2020,19,2020 Q1,2020-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2021,38,2021 Q1,2021-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2022,24,2022 Q1,2022-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2023,22,2023 Q1,2023-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2024,25,2024 Q1,2024-01-01
011200000000,MAŁOPOLSKIE,quarter 1,males,2025,23,2025 Q1,2025-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2010,69,2010 Q1,2010-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2011,72,2011 Q1,2011-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2012,77,2012 Q1,2012-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2013,90,2013 Q1,2013-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2014,84,2014 Q1,2014-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2015,60,2015 Q1,2015-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2016,37,2016 Q1,2016-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2017,33,2017 Q1,2017-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2018,18,2018 Q1,2018-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2019,39,2019 Q1,2019-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2020,19,2020 Q1,2020-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2021,38,2021 Q1,2021-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2022,24,2022 Q1,2022-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2023,22,2023 Q1,2023-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2024,25,2024 Q1,2024-01-01
011210000000,REGION MAŁOPOLSKIE,quarter 1,males,2025,23,2025 Q1,2025-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2010,94,2010 Q1,2010-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2011,83,2011 Q1,2011-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2012,96,2012 Q1,2012-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2013,114,2013 Q1,2013-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2014,112,2014 Q1,2014-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2015,87,2015 Q1,2015-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2016,62,2016 Q1,2016-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2017,46,2017 Q1,2017-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2018,36,2018 Q1,2018-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2019,22,2019 Q1,2019-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2020,12,2020 Q1,2020-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2021,34,2021 Q1,2021-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2022,20,2022 Q1,2022-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2023,26,2023 Q1,2023-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2024,18,2024 Q1,2024-01-01
012400000000,ŚLĄSKIE,quarter 1,males,2025,31,2025 Q1,2025-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2010,94,2010 Q1,2010-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2011,83,2011 Q1,2011-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2012,96,2012 Q1,2012-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2013,114,2013 Q1,2013-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2014,112,2014 Q1,2014-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2015,87,2015 Q1,2015-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2016,62,2016 Q1,2016-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2017,46,2017 Q1,2017-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2018,36,2018 Q1,2018-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2019,22,2019 Q1,2019-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2020,12,2020 Q1,2020-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2021,34,2021 Q1,2021-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2022,20,2022 Q1,2022-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2023,26,2023 Q1,2023-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2024,18,2024 Q1,2024-01-01
012410000000,REGION ŚLĄSKIE,quarter 1,males,2025,31,2025 Q1,2025-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2010,161,2010 Q1,2010-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2011,148,2011 Q1,2011-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2012,126,2012 Q1,2012-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2013,135,2013 Q1,2013-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2014,119,2014 Q1,2014-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2015,91,2015 Q1,2015-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2016,83,2016 Q1,2016-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2017,65,2017 Q1,2017-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2018,45,2018 Q1,2018-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2019,34,2019 Q1,2019-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2020,34,2020 Q1,2020-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2021,42,2021 Q1,2021-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2022,44,2022 Q1,2022-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2023,44,2023 Q1,2023-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2024,38,2024 Q1,2024-01-01
020000000000,MACROREGION PÓŁNOCNO-ZACHODNI,quarter 1,males,2025,42,2025 Q1,2025-01-01
020800000000,LUBUSKIE,quarter 1,males,2010,36,2010 Q1,2010-01-01
020800000000,LUBUSKIE,quarter 1,males,2011,24,2011 Q1,2011-01-01
020800000000,LUBUSKIE,quarter 1,males,2012,21,2012 Q1,2012-01-01
020800000000,LUBUSKIE,quarter 1,males,2013,21,2013 Q1,2013-01-01
020800000000,LUBUSKIE,quarter 1,males,2014,21,2014 Q1,2014-01-01
020800000000,LUBUSKIE,quarter 1,males,2015,17,2015 Q1,2015-01-01
020800000000,LUBUSKIE,quarter 1,males,2016,11,2016 Q1,2016-01-01
020800000000,LUBUSKIE,quarter 1,males,2017,9,2017 Q1,2017-01-01
020800000000,LUBUSKIE,quarter 1,males,2018,8,2018 Q1,2018-01-01
020800000000,LUBUSKIE,quarter 1,males,2019,0,2019 Q1,2019-01-01
020800000000,LUBUSKIE,quarter 1,males,2020,6,2020 Q1,2020-01-01
020800000000,LUBUSKIE,quarter 1,males,2021,0,2021 Q1,2021-01-01
020800000000,LUBUSKIE,quarter 1,males,2022,0,2022 Q1,2022-01-01
020800000000,LUBUSKIE,quarter 1,males,2023,0,2023 Q1,2023-01-01
020800000000,LUBUSKIE,quarter 1,males,2024,0,2024 Q1,2024-01-01
020800000000,LUBUSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2010,36,2010 Q1,2010-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2011,24,2011 Q1,2011-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2012,21,2012 Q1,2012-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2013,21,2013 Q1,2013-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2014,21,2014 Q1,2014-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2015,17,2015 Q1,2015-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2016,11,2016 Q1,2016-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2017,9,2017 Q1,2017-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2018,8,2018 Q1,2018-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2019,0,2019 Q1,2019-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2020,6,2020 Q1,2020-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2021,0,2021 Q1,2021-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2022,0,2022 Q1,2022-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2023,0,2023 Q1,2023-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2024,0,2024 Q1,2024-01-01
020810000000,REGION LUBUSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2010,75,2010 Q1,2010-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2011,77,2011 Q1,2011-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2012,60,2012 Q1,2012-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2013,68,2013 Q1,2013-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2014,59,2014 Q1,2014-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2015,44,2015 Q1,2015-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2016,45,2016 Q1,2016-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2017,33,2017 Q1,2017-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2018,22,2018 Q1,2018-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2019,21,2019 Q1,2019-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2020,13,2020 Q1,2020-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2021,20,2021 Q1,2021-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2022,21,2022 Q1,2022-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2023,25,2023 Q1,2023-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2024,23,2024 Q1,2024-01-01
023000000000,WIELKOPOLSKIE,quarter 1,males,2025,31,2025 Q1,2025-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2010,75,2010 Q1,2010-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2011,77,2011 Q1,2011-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2012,60,2012 Q1,2012-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2013,68,2013 Q1,2013-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2014,59,2014 Q1,2014-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2015,44,2015 Q1,2015-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2016,45,2016 Q1,2016-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2017,33,2017 Q1,2017-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2018,22,2018 Q1,2018-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2019,21,2019 Q1,2019-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2020,13,2020 Q1,2020-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2021,20,2021 Q1,2021-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2022,21,2022 Q1,2022-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2023,25,2023 Q1,2023-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2024,23,2024 Q1,2024-01-01
023010000000,REGION WIELKOPOLSKIE,quarter 1,males,2025,31,2025 Q1,2025-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2010,50,2010 Q1,2010-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2011,47,2011 Q1,2011-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2012,45,2012 Q1,2012-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2013,46,2013 Q1,2013-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2014,39,2014 Q1,2014-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2015,30,2015 Q1,2015-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2016,26,2016 Q1,2016-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2017,23,2017 Q1,2017-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2018,16,2018 Q1,2018-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2019,9,2019 Q1,2019-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2020,16,2020 Q1,2020-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2021,16,2021 Q1,2021-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2022,19,2022 Q1,2022-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2023,13,2023 Q1,2023-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2024,10,2024 Q1,2024-01-01
023200000000,ZACHODNIOPOMORSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2010,50,2010 Q1,2010-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2011,47,2011 Q1,2011-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2012,45,2012 Q1,2012-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2013,46,2013 Q1,2013-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2014,39,2014 Q1,2014-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2015,30,2015 Q1,2015-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2016,26,2016 Q1,2016-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2017,23,2017 Q1,2017-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2018,16,2018 Q1,2018-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2019,9,2019 Q1,2019-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2020,16,2020 Q1,2020-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2021,16,2021 Q1,2021-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2022,19,2022 Q1,2022-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2023,13,2023 Q1,2023-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2024,10,2024 Q1,2024-01-01
023210000000,REGION ZACHODNIOPOMORSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2010,118,2010 Q1,2010-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2011,101,2011 Q1,2011-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2012,100,2012 Q1,2012-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2013,97,2013 Q1,2013-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2014,84,2014 Q1,2014-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2015,74,2015 Q1,2015-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2016,52,2016 Q1,2016-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2017,42,2017 Q1,2017-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2018,28,2018 Q1,2018-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2019,22,2019 Q1,2019-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2020,33,2020 Q1,2020-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2021,71,2021 Q1,2021-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2022,32,2022 Q1,2022-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2023,34,2023 Q1,2023-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2024,30,2024 Q1,2024-01-01
030000000000,MACROREGION POŁUDNIOWO-ZACHODNI,quarter 1,males,2025,29,2025 Q1,2025-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2010,90,2010 Q1,2010-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2011,80,2011 Q1,2011-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2012,78,2012 Q1,2012-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2013,73,2013 Q1,2013-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2014,66,2014 Q1,2014-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2015,59,2015 Q1,2015-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2016,40,2016 Q1,2016-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2017,31,2017 Q1,2017-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2018,19,2018 Q1,2018-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2019,15,2019 Q1,2019-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2020,26,2020 Q1,2020-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2021,65,2021 Q1,2021-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2022,27,2022 Q1,2022-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2023,26,2023 Q1,2023-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2024,21,2024 Q1,2024-01-01
030200000000,DOLNOŚLĄSKIE,quarter 1,males,2025,22,2025 Q1,2025-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2010,90,2010 Q1,2010-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2011,80,2011 Q1,2011-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2012,78,2012 Q1,2012-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2013,73,2013 Q1,2013-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2014,66,2014 Q1,2014-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2015,59,2015 Q1,2015-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2016,40,2016 Q1,2016-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2017,31,2017 Q1,2017-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2018,19,2018 Q1,2018-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2019,15,2019 Q1,2019-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2020,26,2020 Q1,2020-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2021,65,2021 Q1,2021-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2022,27,2022 Q1,2022-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2023,26,2023 Q1,2023-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2024,21,2024 Q1,2024-01-01
030210000000,REGION DOLNOŚLĄSKIE,quarter 1,males,2025,22,2025 Q1,2025-01-01
031600000000,OPOLSKIE,quarter 1,males,2010,28,2010 Q1,2010-01-01
031600000000,OPOLSKIE,quarter 1,males,2011,20,2011 Q1,2011-01-01
031600000000,OPOLSKIE,quarter 1,males,2012,22,2012 Q1,2012-01-01
031600000000,OPOLSKIE,quarter 1,males,2013,24,2013 Q1,2013-01-01
031600000000,OPOLSKIE,quarter 1,males,2014,18,2014 Q1,2014-01-01
031600000000,OPOLSKIE,quarter 1,males,2015,16,2015 Q1,2015-01-01
031600000000,OPOLSKIE,quarter 1,males,2016,12,2016 Q1,2016-01-01
031600000000,OPOLSKIE,quarter 1,males,2017,11,2017 Q1,2017-01-01
031600000000,OPOLSKIE,quarter 1,males,2018,9,2018 Q1,2018-01-01
031600000000,OPOLSKIE,quarter 1,males,2019,8,2019 Q1,2019-01-01
031600000000,OPOLSKIE,quarter 1,males,2020,7,2020 Q1,2020-01-01
031600000000,OPOLSKIE,quarter 1,males,2021,0,2021 Q1,2021-01-01
031600000000,OPOLSKIE,quarter 1,males,2022,0,2022 Q1,2022-01-01
031600000000,OPOLSKIE,quarter 1,males,2023,0,2023 Q1,2023-01-01
031600000000,OPOLSKIE,quarter 1,males,2024,0,2024 Q1,2024-01-01
031600000000,OPOLSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2010,28,2010 Q1,2010-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2011,20,2011 Q1,2011-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2012,22,2012 Q1,2012-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2013,24,2013 Q1,2013-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2014,18,2014 Q1,2014-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2015,16,2015 Q1,2015-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2016,12,2016 Q1,2016-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2017,11,2017 Q1,2017-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2018,9,2018 Q1,2018-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2019,8,2019 Q1,2019-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2020,7,2020 Q1,2020-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2021,0,2021 Q1,2021-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2022,0,2022 Q1,2022-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2023,0,2023 Q1,2023-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2024,0,2024 Q1,2024-01-01
031610000000,REGION OPOLSKIE,quarter 1,males,2025,0,2025 Q1,2025-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2010,138,2010 Q1,2010-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2011,123,2011 Q1,2011-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2012,137,2012 Q1,2012-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2013,150,2013 Q1,2013-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2014,145,2014 Q1,2014-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2015,127,2015 Q1,2015-01-01
040000000000,MACROREGION PÓŁNOCNY,quarter 1,males,2016,106,2016 Q1,2016-01-01
